1;USA;2228
2;Germany;2162
3;Japan;2096
4;Brazil;2038
5;Sweden;2027
6;France;2023
7;England;1999
8;Canada;1983
9;Korea DPR;1943
10;Australia;1939
11;Norway;1922
12;Italy;1915
13;Denmark;1905
14;Netherlands;1887
15;Iceland;1836
16;Korea Republic;1835
17;China PR;1829
18;Spain;1824
19;New Zealand;1806
20;Scotland;1801
21;Finland;1791
22;Russia;1780
23;Ukraine;1773
24;Mexico;1761
25;Switzerland;1723
26;Czech Republic;1708
27;Belgium;1667
28;Vietnam;1654
29;Colombia;1650
30;Thailand;1646
31;Poland;1638
32;Republic of Ireland;1622
32;Nigeria;1622
34;Austria;1619
35;Romania;1613
36;Hungary;1598
37;Wales;1580
38;Belarus;1576
39;Chinese Taipei;1564
40;Costa Rica;1561
41;Slovakia;1557
42;Portugal;1551
43;Myanmar;1550
44;Uzbekistan;1548
45;Serbia;1546
46;Trinidad and Tobago;1509
47;Papua New Guinea;1476
48;Cameroon;1467
49;Ghana;1459
50;India;1431
51;South Africa;1430
52;Equatorial Guinea;1429
53;Jordan;1417
54;Northern Ireland;1416
55;IR Iran;1412
55;Bulgaria;1412
57;Haiti;1397
58;Greece;1389
59;Slovenia;1382
60;Albania;1374
61;Israel;1367
62;Panama;1364
63;Croatia;1363
64;Hong Kong;1361
65;Turkey;1353
66;Kazakhstan;1350
67;Faroe Islands;1345
68;C“te d'Ivoire;1344
69;Uruguay;1330
69;Morocco;1330
71;Tunisia;1325
72;Guatemala;1318
73;Tonga;1316
74;Bahrain;1311
75;Estonia;1308
76;Philippines;1297
77;Guam;1294
78;Laos;1293
79;Egypt;1289
80;Bosnia and Herzegovina;1282
81;Malaysia;1258
81;Montenegro;1258
83;Senegal;1247
84;Lithuania;1246
85;Dominican Republic;1226
86;Zimbabwe;1220
87;Mali;1204
88;Cuba;1201
89;Latvia;1193
90;Palestine;1182
91;Singapore;1180
92;El Salvador;1175
93;Malta;1170
94;Ethiopia;1163
95;Luxembourg;1156
96;Honduras;1153
97;Vanuatu;1139
98;Kyrgyz Republic;1136
99;Congo DR;1132
100;Nicaragua;1111
101;Samoa;1110
102;Armenia;1104
103;Georgia;1100
104;Nepal;1095
105;FYR Macedonia;1089
106;Cyprus;1087
107;Guinea;1063
108;Namibia;1017
109;Bangladesh;979
110;Sri Lanka;965
111;Lebanon;955
112;Maldives;942
113;Tanzania;941
114;Zambia;938
115;Pakistan;937
116;Dominica;906
117;Afghanistan;899
118;Mozambique;873
119;Kuwait;870
120;Malawi;840
121;Belize;827
122;Bhutan;785
123;Antigua and Barbuda;757
124;Botswana;708
