1;Spain;1614
2;Germany;1416
3;Argentina;1287
4;Croatia;1222
5;Netherlands;1158
6;Portugal;1137
7;Colombia;1123
8;Italy;1097
9;England;1095
10;Ecuador;1066
11;Russia;1059
12;Belgium;1035
13;Côte d'Ivoire;1022
14;Switzerland;1010
15;Bosnia and Herzegovina;1008
16;Greece;1006
17;Mexico;928
18;France;922
19;Uruguay;913
20;Denmark;890
21;Ghana;887
22;Brazil;872
23;Mali;869
24;Czech Republic;853
25;Montenegro;841
25;Chile;841
27;Sweden;830
28;USA;798
29;Norway;794
30;Peru;791
31;Nigeria;785
32;Japan;765
33;Hungary;759
34;Romania;750
35;Algeria;737
36;Serbia;723
37;Venezuela;712
38;Albania;690
39;Ukraine;687
40;Korea Republic;666
41;Republic of Ireland;659
42;Tunisia;652
43;Panama;649
44;Paraguay;640
45;Wales;638
46;Bulgaria;628
47;Australia;619
48;Costa Rica;617
49;Jamaica;602
49;Zambia;602
51;Burkina Faso;594
52;Honduras;582
53;Bolivia;578
54;Turkey;573
55;Slovenia;568
56;Slovakia;565
57;New Zealand;551
58;Uzbekistan;550
59;Central African Republic;543
60;South Africa;542
61;Iceland;541
62;Israel;540
63;Haiti;538
64;Equatorial Guinea;523
65;Poland;517
65;Cameroon;517
67;Belarus;506
67;IR Iran;506
69;Libya;498
70;Sierra Leone;497
71;Egypt;491
72;Cape Verde Islands;486
73;Togo;483
74;Scotland;481
75;Jordan;472
76;Austria;469
77;Morocco;463
78;FYR Macedonia;460
79;Congo DR;454
80;Congo;452
81;Trinidad and Tobago;447
82;Gabon;444
83;Canada;443
84;Finland;442
85;Guinea;438
86;El Salvador;429
87;United Arab Emirates;424
88;Guatemala;410
89;Estonia;408
89;Armenia;408
91;Angola;406
91;Cuba;406
93;Uganda;401
94;Dominican Republic;396
95;China PR;393
96;Georgia;391
97;New Caledonia;371
98;Iraq;370
99;Senegal;366
100;Liberia;356
101;Oman;351
102;Zimbabwe;350
103;Mozambique;349
104;Qatar;338
105;Lithuania;330
106;Ethiopia;328
107;Niger;325
108;Saudi Arabia;323
109;Malawi;317
109;Tanzania;317
111;Kuwait;315
112;Tajikistan;312
113;Suriname;311
114;Korea DPR;309
115;Benin;308
116;Northern Ireland;304
117;Bahrain;292
118;Azerbaijan;291
119;Latvia;287
120;Namibia;281
121;Antigua and Barbuda;280
122;Cyprus;269
123;Kenya;268
124;Grenada;266
125;Burundi;256
126;Guyana;249
127;Botswana;245
128;Puerto Rico;241
129;Belize;239
130;St. Vincent / Grenadines;238
131;Lebanon;233
132;Turkmenistan;232
133;Vietnam;231
134;Moldova;230
135;Rwanda;224
135;Sudan;224
137;St. Kitts and Nevis;218
138;Syria;215
138;Tahiti;215
140;St. Lucia;210
140;Afghanistan;210
142;Thailand;209
143;Kyrgyz Republic;206
144;Philippines;203
145;Luxembourg;186
146;Kazakhstan;180
147;Hong Kong;178
147;India;178
149;Barbados;175
150;Aruba;163
151;Palestine;162
152;Bangladesh;161
153;Lesotho;156
154;Chad;152
155;Myanmar;149
156;Malta;148
157;Maldives;146
158;Liechtenstein;145
159;Sao Tome e Principe;144
159;Malaysia;144
161;Bermuda;139
162;Nicaragua;138
162;Faroe Islands;138
162;Gambia;138
165;Singapore;134
166;Solomon Islands;130
167;Dominica;124
168;Laos;118
168;Pakistan;118
170;Indonesia;116
171;Nepal;108
172;Sri Lanka;99
173;Yemen;96
174;Mauritania;94
175;Chinese Taipei;90
176;Bahamas;66
176;Montserrat;66
178;Guam;65
178;Swaziland;65
178;Curacao;65
181;Guinea-Bissau;62
182;Mongolia;61
182;Fiji;61
184;Madagascar;55
185;Mauritius;52
185;Brunei Darussalam;52
185;Timor-Leste;52
188;Samoa;46
189;Cambodia;45
190;Tonga;44
191;Vanuatu;43
192;Comoros;41
193;US Virgin Islands;39
194;Papua New Guinea;38
195;British Virgin Islands;34
196;Cayman Islands;33
197;American Samoa;30
198;Eritrea;24
199;Seychelles;22
200;South Sudan;20
201;Cook Islands;16
202;Somalia;14
202;Macau;14
204;Djibouti;11
205;Andorra;8
206;Anguilla;4
